id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,Total_Score,Performance_Category
42,38,39,41,0,True,7,False,4,7,65,55,66,50,88,56,86,565,Medium
43,39,40,42,1,True,6,False,3,7,93,94,92,77,87,98,63,704,High
44,12,41,43,1,False,4,False,3,14,97,99,85,96,91,68,66,708,High
45,40,42,44,0,True,4,False,3,7,54,99,79,57,53,95,83,621,High
46,41,43,45,0,True,5,True,5,7,88,53,50,58,84,53,96,589,Medium
47,42,44,46,1,False,5,True,27,0,71,85,93,68,100,91,87,719,High
48,43,45,47,0,False,0,True,28,15,81,98,74,70,97,65,65,686,High
49,44,46,48,1,False,4,False,32,4,80,78,86,80,64,68,100,691,High
50,45,47,49,1,False,0,False,14,11,100,89,90,93,30,83,74,681,High
51,36,48,50,0,False,6,True,16,15,76,72,96,65,89,87,94,715,High
52,46,49,51,1,False,2,False,24,0,99,81,73,70,85,86,61,682,High
53,47,50,52,0,False,9,False,0,7,64,70,61,81,82,51,70,597,Medium
54,48,51,53,1,False,3,False,32,9,90,96,86,61,89,98,68,737,High
55,49,37,54,0,False,2,False,3,14,85,100,92,68,60,77,83,675,High
56,50,52,55,1,False,6,False,31,5,91,60,84,88,76,71,99,719,High
57,51,34,56,1,False,3,False,21,4,95,72,79,86,87,81,62,681,High
58,40,53,57,0,True,2,False,18,9,94,78,73,97,67,78,99,726,High
59,52,54,58,0,False,7,False,26,5,94,89,64,96,91,95,77,756,High
60,53,55,59,0,False,4,False,23,5,89,99,90,79,85,96,98,782,High
61,54,56,60,1,False,2,False,1,14,91,81,88,71,78,83,76,702,High
62,55,57,61,1,False,5,False,33,0,83,86,61,99,99,88,73,746,High
63,56,58,62,0,False,7,False,2,7,98,65,53,64,52,96,62,626,High
64,57,59,63,1,False,1,False,34,9,83,97,65,88,67,95,69,731,High
65,58,60,64,0,False,2,False,18,13,91,73,99,70,63,80,78,711,High
66,59,61,65,1,True,6,False,2,7,90,54,77,74,76,96,88,698,High
67,4,6,66,0,False,3,False,27,5,92,86,66,69,100,71,80,671,High
68,60,62,67,0,False,2,False,8,16,64,64,73,76,72,97,91,692,High
69,61,43,68,0,False,4,False,14,5,90,70,85,60,81,71,88,679,High
70,62,63,69,0,False,10,True,22,9,99,81,96,69,91,87,83,780,High
71,63,64,70,1,False,1,False,15,12,89,66,93,81,86,88,70,736,High
72,44,65,71,1,True,3,False,22,10,62,87,93,83,93,97,73,761,High
73,64,66,72,0,True,10,False,1,7,61,70,69,64,59,78,80,638,High
74,34,67,73,0,True,8,False,3,7,51,54,66,87,99,58,68,642,High
75,65,68,74,1,False,2,False,20,5,85,100,64,68,73,81,87,728,High
76,66,69,75,1,False,7,True,27,5,99,90,96,92,100,98,77,837,High
77,50,70,76,1,False,3,False,24,5,87,63,60,90,89,99,80,747,High
78,67,71,77,1,False,1,True,5,4,75,91,80,93,74,93,65,731,High
79,68,72,78,1,False,7,False,34,4,88,94,80,63,68,77,64,730,High
80,69,73,79,0,False,3,False,16,5,87,79,89,68,93,75,92,759,High
81,42,74,80,1,True,3,False,3,7,87,67,94,92,62,58,65,694,High
82,32,75,81,1,False,1,False,15,15,76,67,83,85,91,61,67,718,High
83,27,76,82,1,False,7,False,11,2,60,80,61,63,95,92,75,705,High
84,70,77,83,0,False,7,False,32,8,85,65,99,100,88,93,72,809,High
85,71,78,84,0,False,3,False,28,4,73,67,70,71,65,73,87,703,High
86,72,79,85,0,False,1,False,24,5,85,71,69,80,70,77,66,712,High
87,50,80,86,1,False,2,False,9,2,91,76,71,72,92,67,90,739,High
88,73,81,87,1,False,3,True,14,5,99,95,83,89,81,63,70,772,High
89,74,82,88,0,False,3,False,16,15,93,96,68,87,69,89,100,806,High
90,75,83,89,0,False,3,False,29,5,89,75,60,80,62,85,73,733,High
91,76,84,90,0,False,0,False,14,11,95,78,95,73,32,65,68,705,High
92,71,85,91,0,False,4,False,10,2,68,82,95,63,62,98,93,753,High
93,74,86,92,0,False,5,False,31,5,98,73,73,77,87,98,83,808,High
94,52,83,93,0,False,4,False,34,15,79,92,79,76,84,67,86,792,High
95,77,87,94,1,False,5,False,3,4,78,79,73,96,64,93,85,762,High
96,78,88,95,1,False,2,True,34,5,100,98,89,85,81,64,94,837,High
97,79,89,96,1,False,3,True,2,3,86,76,84,93,76,69,91,770,High
98,80,10,97,0,False,3,False,4,16,87,89,93,98,79,72,88,736,High
99,81,90,98,0,True,0,False,28,0,100,93,85,61,96,83,86,821,High
100,44,91,99,1,False,0,False,5,14,85,89,94,69,99,93,98,837,High
101,67,88,100,1,False,2,False,4,3,87,73,98,91,79,60,77,763,High
102,82,64,101,1,False,2,False,25,5,96,80,100,61,81,98,65,779,High
103,71,92,102,0,False,5,False,29,10,76,87,64,74,73,90,99,801,High
104,83,93,103,0,True,6,False,1,3,90,80,63,94,64,70,79,747,High
105,84,94,104,1,False,7,False,2,7,65,60,100,91,87,78,99,795,High
106,29,83,105,1,False,2,False,0,16,98,97,62,89,62,95,77,787,High
107,85,95,106,1,False,3,False,16,11,91,80,97,89,94,95,84,862,High
108,86,96,107,0,False,3,True,31,8,86,81,83,81,81,77,86,821,High
109,87,97,108,1,False,1,False,4,4,91,93,72,61,61,87,95,775,High
110,88,98,109,0,False,5,True,13,11,78,69,82,60,64,77,82,749,High
111,89,99,110,0,False,4,False,24,15,76,89,89,83,89,90,64,832,High
112,85,88,111,1,True,9,False,2,7,82,54,85,57,50,54,76,677,High
113,70,100,112,0,True,2,True,4,7,45,85,94,76,57,93,86,763,High
114,90,83,113,1,False,1,False,22,9,92,75,65,97,61,76,81,776,High
115,74,101,114,0,False,6,True,0,7,43,65,91,75,64,94,100,761,High
116,74,27,115,0,False,2,False,24,4,96,66,69,65,72,84,77,701,High
117,91,102,116,1,False,6,False,1,7,78,71,50,55,54,97,95,733,High
118,92,103,117,1,False,1,False,19,4,68,96,64,70,74,63,75,755,High
119,93,104,118,0,False,1,True,19,5,93,73,94,65,60,63,93,789,High
120,94,105,119,1,False,6,False,5,7,55,93,67,74,55,60,64,711,High
121,95,106,120,1,True,0,False,13,6,66,90,83,80,76,90,91,823,High
122,96,107,121,0,False,4,False,26,1,98,92,91,99,97,88,75,899,High
123,52,60,122,0,False,4,False,41,1,94,94,94,89,85,86,85,855,High
124,97,58,123,1,False,3,False,47,1,96,100,96,91,91,96,89,892,High
125,50,28,124,1,False,2,False,9,4,69,62,82,89,81,72,71,694,High
126,32,108,125,1,False,4,False,7,4,77,95,98,69,60,89,71,808,High
127,56,34,126,0,False,1,False,3,14,89,67,86,87,87,68,78,740,High
128,98,37,127,0,False,4,True,14,11,96,67,80,83,86,77,75,758,High
129,99,109,128,1,False,4,False,26,4,82,70,80,70,96,69,86,825,High
130,34,28,129,0,False,6,True,27,4,99,97,64,90,87,68,69,769,High
131,99,110,130,1,True,5,False,25,15,96,73,90,85,63,84,87,865,High
132,68,111,131,1,True,4,False,16,9,95,82,66,63,67,92,69,807,High
133,2,112,132,1,False,4,False,27,5,90,63,69,80,99,69,79,830,High
134,100,64,133,0,True,6,False,0,7,88,52,53,56,85,93,78,716,High
135,36,113,134,0,False,1,False,3,12,87,62,87,96,85,90,74,844,High
136,101,4,135,1,False,2,False,6,12,62,83,84,75,83,85,86,718,High
137,40,114,136,0,False,2,False,12,9,85,65,60,78,81,96,76,814,High
138,54,27,137,1,False,1,True,11,9,79,97,76,67,61,90,95,752,High
139,102,115,138,1,False,4,False,23,5,90,94,98,96,68,82,81,895,High
140,103,116,139,0,False,2,False,23,1,97,71,82,80,97,93,78,879,High
141,71,117,140,0,False,0,False,16,5,88,69,87,81,77,67,93,840,High
142,104,118,141,0,True,2,True,3,3,71,85,77,89,98,63,100,852,High
143,105,119,142,1,False,1,False,29,0,70,99,79,96,60,97,100,893,High
144,106,120,143,0,False,3,True,18,5,93,68,76,99,80,80,75,861,High
145,107,121,144,1,False,0,False,3,14,92,79,81,61,86,72,88,842,High
146,108,88,145,0,False,3,False,6,16,83,72,68,94,100,98,92,865,High
147,109,122,146,0,False,8,False,2,7,68,97,51,93,68,58,78,798,High
148,110,13,147,0,False,0,False,34,0,92,90,65,79,96,87,74,777,High
149,111,19,148,1,False,4,True,22,4,69,91,82,99,94,75,74,783,High
150,112,123,149,1,True,5,False,4,7,76,72,72,65,82,71,93,821,High
151,113,124,150,1,False,3,False,3,4,86,92,79,73,73,61,60,809,High
152,83,125,151,0,True,10,False,2,7,41,57,97,56,50,98,83,778,High
153,42,87,152,1,False,5,False,18,4,91,100,84,72,84,90,82,870,High
154,75,126,153,0,False,0,False,8,16,78,67,82,70,65,68,81,814,High
155,114,127,154,1,False,1,False,33,5,89,73,85,84,73,81,98,904,High
156,110,128,155,0,False,0,True,13,4,96,71,88,74,80,92,65,867,High
157,115,127,156,1,False,0,True,17,4,66,99,85,90,76,64,95,881,High
158,56,129,157,0,True,8,False,1,7,97,54,62,66,58,69,96,805,High
159,72,121,158,0,True,7,True,3,7,49,64,97,61,62,72,65,768,High
160,34,130,159,0,True,4,True,33,4,88,66,96,82,65,76,79,884,High
161,33,6,160,0,False,1,False,12,4,92,64,77,61,76,72,87,712,High
162,4,131,161,0,True,3,False,24,13,96,66,92,88,65,76,72,888,High
163,116,132,162,0,False,4,False,33,13,86,88,99,79,93,97,91,977,High
164,117,133,163,0,False,1,True,44,1,86,100,100,96,95,97,93,1010,High
165,118,134,164,1,False,1,False,15,6,88,72,96,60,90,80,88,895,High
166,32,135,165,1,False,2,False,5,14,92,81,99,98,77,80,73,922,High
167,13,136,166,1,True,7,False,5,7,87,76,71,65,64,81,61,828,High
168,119,137,167,1,False,5,False,22,4,89,94,67,68,69,92,76,891,High
169,120,138,168,0,False,1,False,9,4,97,96,66,96,71,97,66,909,High
170,121,139,169,0,False,4,True,34,5,100,62,67,97,73,84,99,934,High
171,122,140,170,1,False,1,False,34,0,91,98,76,99,65,98,71,944,High
172,123,141,171,1,False,4,False,25,15,81,87,65,85,74,64,81,894,High
173,67,142,172,1,False,5,True,31,11,82,66,89,76,68,83,79,906,High
174,124,106,173,0,False,1,False,33,0,100,96,75,68,77,97,81,907,High
175,99,52,174,1,False,10,True,3,7,65,100,80,83,57,81,81,795,High
176,125,143,175,0,False,2,False,20,4,68,100,89,75,84,78,90,928,High
177,124,83,176,0,False,3,False,15,11,97,92,95,75,95,90,83,915,High
178,126,115,177,1,False,3,False,26,9,76,94,77,88,85,91,61,903,High
179,42,77,178,1,False,5,False,35,5,91,99,94,94,95,98,89,961,High
180,127,3,179,0,False,4,False,12,13,85,73,89,73,97,66,79,773,High
181,36,144,180,0,False,2,True,5,4,68,69,86,87,72,80,93,891,High
182,24,103,181,0,False,1,False,31,0,73,99,75,70,100,86,62,881,High
183,78,145,182,1,False,3,True,28,4,65,90,75,96,91,93,85,959,High
184,128,146,183,0,False,8,True,5,7,46,79,75,86,91,88,77,892,High
185,129,27,184,1,False,1,False,33,5,92,84,85,77,81,69,95,834,High
186,130,147,185,1,False,3,False,2,3,69,78,69,70,100,88,85,900,High
187,131,148,186,1,False,5,True,9,16,78,99,64,99,65,84,80,935,High
188,44,149,187,1,True,2,True,0,7,92,62,86,97,54,76,76,891,High
189,60,105,188,0,False,5,False,26,4,70,77,91,96,100,89,67,918,High
190,45,150,189,1,False,5,False,30,8,95,79,98,95,89,99,87,1025,High
191,132,64,190,1,False,7,False,1,14,99,82,93,83,92,90,60,876,High
192,133,75,191,0,False,1,True,26,5,96,66,79,80,88,61,85,854,High
193,134,151,192,1,False,2,False,2,14,85,90,85,74,96,71,80,943,High
194,106,66,193,0,False,5,False,9,15,91,94,82,100,68,66,69,858,High
195,135,152,194,1,False,2,False,30,8,85,64,93,80,82,70,94,955,High
196,136,153,195,1,False,3,False,24,15,94,73,61,68,65,85,67,904,High
197,109,154,196,0,False,4,False,21,5,95,69,62,87,84,83,64,924,High
198,123,155,197,1,False,2,False,14,6,69,90,83,70,83,91,67,928,High
199,137,156,198,1,False,1,False,24,5,95,72,94,96,91,61,94,988,High
200,138,157,199,1,False,3,False,34,0,94,88,65,88,60,81,78,948,High
201,4,13,200,0,False,1,True,34,11,82,81,100,81,60,79,96,839,High
202,95,64,201,0,False,6,True,27,5,99,73,91,91,93,80,100,931,High
203,50,158,202,1,False,3,False,16,11,85,62,84,80,37,80,71,890,High
204,139,43,203,1,False,1,True,21,11,100,87,60,92,46,67,96,829,High
205,140,159,204,1,False,1,False,1,3,98,95,90,81,82,86,98,999,High
206,16,43,205,0,False,3,False,17,5,97,78,81,67,90,95,79,860,High
207,110,160,206,0,False,5,False,0,4,99,86,68,94,97,77,92,988,High
208,74,161,207,0,False,3,True,12,11,99,73,77,74,62,68,99,947,High
209,99,20,208,1,False,2,False,22,9,75,83,70,71,86,95,76,818,High
210,141,162,209,1,False,1,True,14,6,63,80,99,78,60,84,86,944,High
211,19,101,210,0,False,0,False,41,1,96,88,90,100,94,87,96,1004,High
212,142,163,211,0,False,4,False,32,13,91,73,86,73,84,60,71,961,High
213,143,164,212,0,True,1,False,4,7,52,58,60,97,93,89,68,906,High
214,51,165,213,1,False,1,False,22,1,99,71,80,82,95,64,64,958,High
215,144,28,214,1,False,3,False,17,9,84,62,92,74,73,98,91,846,High
216,145,166,215,0,False,2,False,2,3,100,90,82,79,94,83,78,994,High
217,146,167,216,1,False,4,False,33,9,82,71,93,90,90,76,97,1029,High
218,147,44,217,1,False,5,False,29,9,75,88,65,80,76,94,97,880,High
219,148,168,218,1,True,1,False,27,4,66,71,94,72,96,70,63,952,High
220,149,169,219,0,False,6,True,34,9,99,88,72,76,68,92,72,1005,High
221,70,84,220,0,False,3,False,2,16,99,76,94,88,75,66,84,907,High
222,129,170,221,1,False,3,False,22,5,95,87,79,95,84,90,74,1026,High
223,70,171,222,0,False,7,False,33,5,99,61,75,68,66,90,99,996,High
224,60,172,223,0,False,5,False,17,12,65,72,96,69,78,93,72,974,High
225,74,173,224,0,False,7,False,4,7,85,55,74,71,66,50,99,915,High
226,134,174,225,1,False,7,True,3,7,69,78,57,72,71,96,87,948,High
227,37,175,226,1,False,7,False,3,7,75,76,88,65,97,83,85,988,High
228,18,162,227,1,False,7,True,17,5,91,78,72,69,77,91,96,994,High
229,150,176,228,0,False,3,False,6,16,92,95,61,98,89,85,80,1029,High
230,36,64,229,0,False,7,False,9,4,62,64,65,86,67,94,68,819,High
231,75,177,230,0,True,2,False,35,5,87,91,98,94,100,87,89,1096,High
232,32,178,231,1,False,3,False,17,5,97,88,87,61,86,92,94,1040,High
233,151,179,232,1,False,1,False,7,2,97,92,79,88,92,99,85,1054,High
234,152,180,233,0,False,5,False,16,12,98,88,92,84,90,90,71,1059,High
235,153,181,234,1,False,1,False,20,5,96,67,88,95,82,75,84,1029,High
236,34,94,235,0,True,7,False,0,7,98,89,81,56,72,74,94,908,High
237,20,182,236,0,False,2,False,27,0,87,82,95,81,85,84,73,1034,High
238,36,183,237,0,False,0,False,24,13,96,80,86,94,63,72,75,1023,High
239,124,184,238,0,False,2,False,30,4,82,74,77,95,81,76,91,1034,High
240,40,185,239,0,False,6,False,20,5,100,72,99,64,70,93,67,1020,High
241,25,186,240,0,False,0,False,27,5,91,81,91,76,100,92,87,1076,High
242,154,48,241,0,False,6,False,2,7,87,62,85,64,63,61,85,811,High
243,155,88,242,1,False,6,False,16,9,75,95,84,87,78,82,86,949,High
244,125,187,243,0,True,1,False,27,9,86,78,61,71,94,92,65,1015,High
245,156,188,244,0,False,4,True,24,11,94,62,97,96,74,68,69,1032,High
246,36,148,245,0,False,4,False,23,11,99,64,92,78,30,78,88,960,High
247,157,189,246,0,False,1,False,15,2,84,91,94,66,78,71,93,1030,High
248,74,190,247,0,False,3,False,25,15,92,81,68,96,99,92,79,1087,High
249,158,191,248,1,False,2,False,32,5,95,84,95,72,62,80,83,1050,High
250,74,192,249,0,False,3,False,35,0,90,88,94,99,92,87,97,1126,High
251,159,193,250,1,False,3,False,3,3,93,100,87,66,85,96,87,1067,High
252,160,194,251,1,False,1,False,28,12,69,63,88,73,83,74,94,1031,High
253,161,171,252,0,False,1,False,3,14,97,80,80,65,91,67,84,1005,High
254,137,195,253,1,False,0,False,21,11,76,72,80,92,41,90,78,1010,High
255,162,196,254,0,False,3,False,35,4,85,85,92,86,99,86,93,1118,High
256,66,197,255,1,False,7,True,35,5,91,87,89,97,93,87,100,1145,High
257,163,101,256,1,False,7,True,14,11,82,95,92,62,73,75,93,963,High
258,144,198,257,1,True,7,False,1,7,59,56,87,97,62,74,61,968,High
259,164,199,258,1,False,9,True,0,7,78,71,73,51,80,84,65,977,High
260,162,200,259,0,False,2,False,12,13,89,65,82,65,76,95,62,1020,High
261,165,85,260,1,False,3,False,35,5,86,91,92,96,90,96,90,1030,High
262,36,164,261,0,False,4,False,2,3,76,93,65,95,76,88,88,1015,High
263,117,201,262,0,True,2,False,16,4,79,68,63,72,81,67,67,983,High
264,102,202,263,1,False,3,False,31,0,91,96,77,76,80,97,80,1097,High
265,71,28,264,0,False,5,False,4,7,89,66,80,77,60,88,74,842,High
266,106,203,265,0,False,3,False,19,4,97,94,81,97,79,86,63,1091,High
267,11,99,266,1,False,3,True,15,9,100,86,74,96,80,99,76,1005,High
268,166,204,267,1,False,1,False,30,1,96,68,87,96,91,68,65,1075,High
269,129,205,268,1,False,7,False,17,9,94,64,100,71,84,92,99,1111,High
270,51,206,269,1,False,2,False,23,5,98,68,80,75,80,81,60,1048,High
271,52,193,270,0,False,1,False,3,7,53,71,98,95,94,71,77,1033,High
272,51,207,271,1,False,7,False,4,7,44,64,58,66,87,62,68,946,High
273,167,208,272,0,False,0,False,25,4,85,70,73,95,100,70,94,1096,High
274,4,36,273,0,True,10,False,1,7,51,91,67,79,58,52,75,801,High
275,168,125,274,0,False,1,False,24,0,90,89,82,74,67,92,82,1000,High
276,76,209,275,0,False,1,False,15,5,100,92,90,66,73,68,70,1064,High
277,169,210,276,1,True,7,False,1,7,95,73,61,91,84,92,94,1093,High
278,74,211,277,0,False,1,True,33,0,76,81,96,74,75,80,98,1103,High
279,78,110,278,1,False,1,False,11,12,71,98,96,60,90,79,72,979,High
280,170,212,279,0,False,3,False,10,9,95,60,87,71,91,84,98,1099,High
281,171,213,280,1,False,7,True,15,5,92,88,76,93,69,75,97,1112,High
282,172,214,281,0,False,5,False,34,8,82,95,96,100,89,64,91,1159,High
283,86,43,282,0,False,3,False,30,0,85,94,83,76,77,81,92,946,High
284,114,215,283,1,True,4,True,4,3,82,85,75,92,76,95,85,1102,High
285,151,216,284,1,False,2,False,28,15,98,77,94,63,69,88,100,1135,High
286,52,64,285,0,False,5,True,29,1,93,96,94,84,91,67,68,978,High
287,132,217,286,1,False,7,True,30,0,84,97,60,100,83,88,94,1148,High
288,4,146,287,0,False,4,False,31,4,81,95,76,60,61,98,77,1020,High
289,18,218,288,1,False,8,False,1,7,62,64,84,67,78,51,62,991,High
290,32,10,289,1,False,6,False,16,5,92,70,60,94,87,90,86,906,High
291,173,84,290,1,False,2,True,18,6,64,93,61,61,74,94,64,913,High
292,29,219,291,1,True,1,False,4,14,89,67,97,67,75,94,93,1113,High
293,12,199,292,1,False,8,False,32,11,99,88,84,87,36,96,86,1119,High
294,174,19,293,1,False,2,False,12,9,95,82,93,99,66,93,86,950,High
295,13,125,294,1,True,6,False,5,12,72,92,67,100,70,94,81,1020,High
296,112,220,295,1,False,2,True,15,2,68,89,68,90,68,99,74,1092,High
297,175,2,296,1,False,3,False,31,11,92,69,78,68,70,80,73,874,High
298,176,152,297,0,False,2,False,2,14,97,74,97,60,65,90,97,1047,High
299,165,221,298,1,False,1,False,2,4,81,92,94,77,84,63,64,1082,High
300,149,222,299,0,False,3,False,20,5,88,60,81,85,87,90,76,1116,High
301,177,223,300,0,False,1,True,11,15,76,82,70,72,78,60,81,1070,High
302,178,224,301,1,False,10,False,26,9,77,62,97,82,74,98,95,1156,High
303,179,225,302,1,False,3,False,22,11,89,81,99,71,67,74,89,1134,High
304,99,43,303,1,False,1,True,12,2,65,69,66,65,90,76,60,854,High
305,180,226,304,1,True,10,False,4,7,82,55,76,63,70,61,60,1020,High
306,181,227,305,1,False,3,False,34,9,77,60,61,91,62,78,91,1099,High
307,39,28,306,1,False,0,False,9,6,66,70,88,70,62,70,75,851,High
308,102,31,307,1,False,5,False,43,1,90,96,100,87,100,90,89,1040,High
309,182,70,308,1,False,2,False,1,16,73,87,90,96,61,61,76,942,High
310,183,152,309,1,False,2,False,19,5,89,64,74,97,95,77,88,1072,High
311,176,228,310,1,True,4,False,2,7,72,55,54,62,75,79,96,1046,High
312,184,77,311,0,False,1,False,34,8,87,90,89,88,93,87,70,1035,High
313,136,88,312,1,False,4,True,31,8,75,98,96,85,81,69,90,1039,High
314,185,229,313,1,False,4,False,11,6,80,85,98,99,92,70,96,1184,High
315,186,230,314,0,False,2,False,35,4,85,87,87,90,91,91,99,1215,High
316,124,28,315,0,False,4,False,20,5,92,93,74,76,79,65,74,925,High
317,114,88,316,1,True,0,False,22,4,63,60,92,88,90,68,100,993,High
318,187,231,317,1,False,3,False,2,14,99,99,87,80,89,78,87,1187,High
319,60,232,318,0,False,7,False,1,7,87,88,51,96,77,71,61,1096,High
320,188,233,319,1,False,4,False,34,5,87,84,62,76,89,83,93,1170,High
321,40,234,320,0,True,6,False,17,5,90,75,71,64,97,89,88,1157,High
322,167,15,321,0,False,6,False,34,1,94,83,99,100,94,91,69,1007,High
323,66,235,322,1,True,5,False,25,4,86,76,81,83,81,70,65,1135,High
324,40,94,323,0,False,3,False,8,4,96,81,95,78,79,65,86,1012,High
325,4,221,324,0,False,3,False,4,4,75,69,85,73,79,93,74,1104,High
326,13,28,325,1,False,1,True,26,0,74,92,81,79,74,85,86,953,High
327,60,236,326,0,False,1,False,13,10,96,91,96,69,70,99,70,1177,High
328,183,237,327,1,False,1,True,4,2,79,77,62,98,76,99,82,1146,High
329,110,238,328,0,False,2,False,27,0,70,88,60,68,66,82,60,1089,High
330,41,210,329,0,False,5,False,32,4,79,91,62,87,80,65,94,1138,High
331,189,152,330,1,False,1,False,25,5,91,65,86,66,88,85,60,1055,High
332,190,58,331,1,False,1,False,13,12,90,72,78,61,78,88,74,957,High
333,26,50,332,0,False,1,False,31,13,87,100,86,60,80,78,96,1014,High
334,18,239,333,1,False,3,False,8,6,69,99,78,85,98,86,73,1178,High
335,191,6,334,0,True,9,False,0,7,66,99,50,62,97,60,84,875,High
336,41,240,335,0,False,7,False,6,2,65,95,78,65,74,69,63,1099,High
337,192,241,336,0,False,2,False,7,2,83,81,88,82,97,83,74,1176,High
338,193,242,337,0,False,1,False,32,0,100,89,95,63,67,92,75,1193,High
339,194,40,338,0,False,5,True,30,5,85,70,78,66,69,62,100,949,High
340,71,122,339,0,False,9,False,4,7,45,98,95,66,84,83,100,1052,High
341,13,78,340,1,False,5,False,15,2,73,75,94,82,71,90,75,1001,High
342,195,243,341,0,False,2,False,2,14,95,83,96,97,72,77,61,1183,High
343,196,244,342,0,False,8,True,32,0,96,95,61,72,71,83,96,1201,High
344,74,152,343,0,False,2,False,24,13,94,72,96,93,93,79,64,1125,High
345,51,245,344,1,False,1,False,18,6,92,69,69,60,90,88,95,1178,High
346,40,246,345,0,True,10,False,5,7,56,52,76,95,54,59,85,1091,High
347,197,12,346,1,True,3,False,24,9,85,74,65,76,100,95,68,959,High
348,198,19,347,0,False,1,False,16,12,65,90,68,99,74,82,86,959,High
349,61,247,348,0,False,1,False,15,10,64,81,95,87,86,91,80,1205,High
350,36,248,349,0,False,3,False,26,5,100,88,94,67,62,66,96,1204,High
351,199,181,350,1,False,3,False,15,6,76,64,64,60,75,92,61,1048,High
352,144,249,351,1,False,1,False,5,14,97,76,91,76,89,60,85,1195,High
353,33,250,352,0,False,1,True,14,4,95,98,98,83,77,93,83,1249,High
354,200,13,353,0,False,4,False,1,14,85,64,90,94,68,97,61,944,High
355,89,6,354,0,False,5,False,10,13,86,91,96,60,91,73,88,973,High
356,189,251,355,1,False,6,False,5,7,100,58,58,100,60,52,82,1135,High
357,36,18,356,0,False,2,False,26,4,65,77,66,100,88,77,62,941,High
358,174,252,357,1,False,2,True,26,0,71,81,99,74,74,82,67,1187,High
359,201,21,358,1,False,2,False,14,2,80,94,97,83,84,77,79,992,High
